City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Dingle,PH,75.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
298,Pemex,MX,76.1,broken clouds,18.4395,-96.3461,Hotel Alquimia Premier
304,Goya,AR,80.78,broken clouds,-29.14,-59.2626,Apart Costanera
306,Paita,PE,86.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
308,Rio Grande,BR,80.6,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
310,Banda Aceh,ID,78.85,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
316,Perth,AU,84.0,clear sky,-31.9333,115.8333,Parmelia Hilton Perth
317,Mana,GF,81.3,broken clouds,5.6592,-53.7767,LE SAMANA
319,Progreso,MX,75.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
321,Geraldton,AU,84.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
323,Saint-Pierre,RE,82.4,few clouds,-21.3393,55.4781,Lindsey Hôtel
327,Padang,ID,77.0,heavy intensity rain,-0.9492,100.3543,Mercure Padang
336,Illela,NG,80.96,broken clouds,13.7292,5.2975,
337,Pak Phanang,TH,76.95,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
344,Lagos,NG,86.0,scattered clouds,6.5833,3.75,
353,Itarema,BR,86.45,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
365,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
366,Morondava,MG,84.49,scattered clouds,-20.2833,44.2833,La Case Bambou
369,Latung,PH,78.03,heavy intensity rain,5.5,120.8833,
371,Sarh,TD,87.8,clear sky,9.1429,18.3923,Hôtel des Chasses
375,Nsanje,MW,80.71,moderate rain,-16.92,35.262,Nsanje Discovery Lodge
377,Kavieng,PG,83.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
